Feature,SHAP_Importance
anaemia_2021,3.498287527132177
neighbor_malaria_avg_2021,1.2595053385147266
malaria_trend_2015_2021,1.1850783942261072
iptp2_2021,0.7373973829669768
malaria_trend_2018_2021,0.5229327165699942
itn_coverage_gap_2021,0.5108010732746303
itn_ownership_2021,0.36698903801551674
iptp_coverage_gap_2021,0.32317918401401663
anc_quality_index_2021,0.2844358640689663
iptp2_trend_2015_2021,0.24448320290189463
itn_access_2021,0.15630343664710591
iptp3_2021,0.15423436924498712
malaria_msg_2021,0.13693335229176762
itn_trend_2015_2021,0.13584439724344538
health_seeking_index_2021,0.13383062628253822
net_to_person_2021,0.12333407900769582
itn_use_children_2021,0.11471257748343666
urbanization_score,0.09991054603545586
zone_South West,0.0778120421936672
diag_test_2021,0.07614480085675573
zone_North Central,0.029201133303455737
zone_North East,0.027658148724717578
zone_North West,0.01990970705364454
zone_South South,0.010350040253558217
is_urban,0.007653972506186801
zone_South East,0.004675267394669764
